value,full_text,display_text,selected
569_3,SEFAZ RJ ANA EM FINANÇAS PÚBLICAS – ESP.: ECONÔMICO/FINANCEIRA,SEFAZ RJ ANA EM FINANÇAS PÚBLICAS – ESP.: ECONÔMICO/FINANCEIRA,False
749_1,SEFAZ RJ 2025 AUDITOR FISCAL DA RECEITA ESTADUAL,SEFAZ RJ 2... AUDITOR FISCAL DA RECEITA ESTADUAL,False
6_1,SEFAZ RR Auditor Fiscal de Tributos Estadual,SEFAZ RR Auditor Fiscal de Tributos Estadual,False
175_1,SEFAZ RR TEC DE TRIBUTOS ESTADUAIS,SEFAZ RR TEC DE TRIBUTOS ESTADUAIS,False
24_1,SEFAZ RS 17 Auditor do Estado do Rio Grande do Sul,SEFAZ RS 1... Auditor do Estado do Rio Grande do Sul,False
14_1,SEFAZ RS 18 Auditor/Fiscal da Receita Estadual,SEFAZ RS 1... Auditor/Fiscal da Receita Estadual,False
29_2,SEFAZ RS TEC 18 Tec Tributário da Receita Estadual,SEFAZ RS T... Tec Tributário da Receita Estadual,False
8_1,SEFAZ SC 18 Auditor Fiscal da Receita Estadual,SEFAZ SC 1... Auditor Fiscal da Receita Estadual,False
8_3,SEFAZ SC 18 Auditor Fiscal da Receita Estadual Gestão Tributária,SEFAZ SC 1... Auditor Fiscal da Receita Estadual Gestão Tributária,False
8_2,SEFAZ SC 18 Auditor Fiscal da Receita Estadual TI,SEFAZ SC 1... Auditor Fiscal da Receita Estadual TI,False
65_1,SEFAZ SC 21 Ana da Receita Estadual IV,SEFAZ SC 2... Ana da Receita Estadual IV,False
72_1,SEFAZ SE Auditor Tributário,SEFAZ SE Auditor Tributário,False
640_1,SEFAZ SE 25 AUDITOR FISCAL TRIBUTÁRIO – GERAL,SEFAZ SE 2... AUDITOR FISCAL TRIBUTÁRIO – GERAL,False
640_2,SEFAZ SE 25 AUDITOR FISCAL TRIBUTÁRIO – TECNOLOGIA DA INFORMAÇÃO,SEFAZ SE 2... AUDITOR FISCAL TRIBUTÁRIO – TECNOLOGIA DA INFORMAÇÃO,False
640_3,SEFAZ SE 25 AUDITOR FISCAL TRIBUTÁRIO – TRIBUTAÇÃO,SEFAZ SE 2... AUDITOR FISCAL TRIBUTÁRIO – TRIBUTAÇÃO,False
648_1,SEFAZ SP 13 AGENTE FISCAL DE RENDAS GESTÃO TRIBUTÁRIA,SEFAZ SP 1... AGENTE FISCAL DE RENDAS GESTÃO TRIBUTÁRIA,False
